host_id,number_of_listings,number_of_bookings_032015,number_of_bookings_052015,number_of_bookings_062015,number_of_bookings_082015,number_of_bookings_092015,number_of_bookings_102015,number_of_bookings_112015,number_of_bookings_122015,number_of_bookings_012016,number_of_bookings_022016,number_of_bookings_042016,number_of_bookings_052016,number_of_bookings_062016,number_of_bookings_072016,number_of_bookings_082016,number_of_bookings_092016,number_of_bookings_102016,number_of_bookings_112016,number_of_bookings_122016,number_of_bookings_012017,number_of_bookings_022017,number_of_bookings_032017,number_of_bookings_042017,number_of_bookings_052017,number_of_bookings_062017,number_of_bookings_072017,number_of_bookings_082017,number_of_bookings_092017,number_of_bookings_102017,number_of_bookings_112017,number_of_bookings_122017,number_of_bookings_012018,number_of_bookings_022018,number_of_bookings_032018
7549,4,0.0,3.0,2.0,4.75,1.5,1.0,1.25,1.0,0.75,1.25,2.25,2.5,2.75,2.0,1.25,0.5,0.0,1.0,1.25,1.5,0.75,1.25,2.75,2.25,0.75,1.25,2.0,3.0,1.5,0.25,1.5,1.5,1.25,2.75
9744,3,0.0,1.33,3.33,1.0,1.67,2.33,2.67,0.67,1.0,0.67,2.0,1.33,2.0,1.33,0.67,1.67,3.0,3.67,1.0,0.67,0.67,0.0,1.0,1.67,2.33,2.0,1.33,1.67,2.0,1.33,1.33,4.33,0.67,0.67
22486,4,0.0,0.5,1.0,1.75,0.5,0.25,0.75,0.0,0.0,0.0,0.5,0.0,1.0,0.0,0.25,0.75,0.25,1.0,0.25,0.0,1.0,0.0,0.0,0.5,0.75,0.75,0.0,1.0,2.25,1.5,1.0,1.75,0.0,0.0
54275,3,0.0,0.33,0.33,1.0,0.0,0.33,0.33,0.0,1.67,0.67,0.67,0.0,1.33,0.67,0.67,0.0,1.0,1.33,1.0,0.67,0.0,0.33,0.0,1.0,0.67,1.0,0.0,0.33,1.0,2.33,1.33,1.0,0.0,0.67
67105,3,0.0,1.33,1.33,0.67,1.33,1.0,1.33,0.67,0.33,0.0,1.0,0.0,0.0,0.67,0.33,0.67,0.33,0.33,0.33,0.0,0.67,0.0,0.33,0.33,0.67,0.67,0.0,0.33,1.0,1.0,0.33,1.33,0.0,0.33
72014,3,0.0,3.0,1.67,4.33,2.0,2.33,2.67,1.67,1.67,1.0,3.0,2.67,2.33,3.67,1.67,2.0,1.33,3.0,2.33,2.33,1.67,1.0,1.33,2.0,1.33,1.33,0.67,0.0,2.0,1.33,1.0,1.67,0.67,0.33
97797,5,0.0,0.6,0.2,0.8,0.8,0.6,0.6,0.0,0.2,0.8,0.2,0.2,0.4,0.6,0.6,0.2,0.4,1.0,1.2,0.2,0.2,0.4,0.6,0.0,0.2,1.2,0.4,0.2,0.2,0.8,1.6,1.6,0.2,0.0
137814,3,0.0,7.67,6.67,9.0,6.0,5.0,8.33,3.0,5.0,2.0,8.67,5.67,5.33,7.0,7.33,5.33,5.0,7.0,5.33,2.33,4.0,2.0,3.33,4.0,4.0,3.0,5.33,3.0,4.0,4.0,3.67,2.33,2.0,2.0
181376,3,0.0,3.33,2.67,6.67,0.67,3.0,6.67,1.33,1.33,0.33,1.0,0.33,2.33,3.0,1.0,1.33,3.67,3.0,2.33,0.67,1.67,0.67,0.67,1.33,2.67,0.67,1.33,1.0,3.0,2.67,1.67,2.0,1.0,0.33
204539,5,0.0,0.2,0.4,0.2,0.2,0.2,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
