listing_id,host_id,number_of_reviews
105,500,39
2515,2758,112
2595,2845,17
3330,4177,16
3687,4647,48
3831,4869,7
4573,5871,5
4611,5926,67
4984,7104,36
4989,7118,14
5044,7222,38
5099,7322,44
5110,7337,31
5121,7356,39
5135,7380,219
5172,7386,41
5178,8967,225
5216,7510,29
5238,7549,102
5258,7611,47
5270,7626,143
5295,7702,29
5441,7989,66
5489,8178,207
5552,8380,54
5586,8526,34
5803,9744,116
5945,4267,61
5947,10889,124
6011,11481,111
6103,5871,9
6111,12169,91
6171,12712,138
6202,12869,13
6365,13654,10
6990,16800,150
7036,53179,4
7064,17297,7
7097,17571,74
7249,18667,78
7258,18729,8
7503,19852,7
7540,19969,49
7816,21286,8
8024,22486,70
8025,22486,17
8110,22486,38
8225,2758,78
8258,23684,2
8270,23843,15
8343,24222,8
8490,25183,35
9073,28738,0
9123,29096,154
9357,30193,40
9529,30990,102
9657,21904,7
9668,32294,166
9782,32169,119
9783,32294,176
10423,36017,80
10452,35935,46
10767,38649,115
10950,39636,28
10962,9744,90
10980,39955,95
10994,33279,31
11705,44136,5
11708,44145,82
11793,32105,7
11900,45016,103
11929,45324,1
11930,45324,1
11931,45324,5
11943,45445,0
12048,7549,124
12192,46978,148
12303,47618,20
12343,47727,77
12370,48143,8
12382,48247,121
12579,49366,13
12622,49623,27
12639,48143,0
12937,50124,85
12940,50148,27
13002,22486,4
13076,50912,7
13121,27848,53
13362,52043,55
13380,52233,3
13394,52335,79
13414,52451,34
13488,52751,58
13532,17019,21
13552,7612,20
13808,54275,54
13910,45324,3
14074,55298,89
14290,56104,30
14314,56246,47
14322,56284,4
14374,2339,86
14377,56512,52
14434,7356,46
14539,57142,117
14694,55469,5
14699,55469,1
14708,55469,6
14779,50148,46
14940,56663,23
14983,58979,27
14991,59023,14
15049,59254,46
15110,3647,4
15220,59734,111
15230,59777,7
15338,32169,87
15341,60049,7
15352,60185,0
15385,60252,14
15491,59777,4
15493,59777,21
15517,60810,43
15688,61414,58
15700,61446,63
15712,61494,25
15729,61531,20
15796,61414,36
15875,61862,51
15940,62330,50
15944,62352,28
15962,62407,54
16089,656594,106
16284,63394,61
16326,63588,68
16338,63613,18
16421,63924,139
16422,63945,22
16486,64164,64
16550,64334,2
16580,64442,61
16595,64522,62
16701,64894,63
16737,65059,172
16794,65197,13
16821,4396,20
16928,65676,29
16974,65837,81
17007,39955,129
17037,66035,33
17052,66087,45
17083,66209,8
17122,66346,94
17226,4267,26
17240,59777,20
17296,67105,22
17297,67105,24
17298,67105,18
17299,67105,23
17453,67744,0
17535,55021,40
17758,57142,83
18127,69829,14
18152,69942,83
18198,70091,21
18590,71512,71
18710,71778,12
18728,71876,88
18764,72014,46
19059,72808,72
19169,73128,42
19282,73469,9
19319,44263,65
19420,71776,33
19601,74303,15
19743,74686,19
20299,62407,92
20611,72014,79
20724,961342,8
20755,51038,7
20793,42756,197
20913,79402,111
21127,69587,1
21218,42756,237
21220,42756,179
21530,82260,76
21644,82685,0
21677,82796,43
21794,83257,2
22562,86790,64
22911,87773,112
23135,11481,99
23265,49236,114
23269,49236,24
23377,91407,34
23481,91960,49
23488,33135,6
23501,63318,68
23529,92311,84
23545,92411,124
23586,92821,50
23606,93047,8
23686,93790,10
23844,94966,53
24143,97219,172
24189,3115758,33
24261,97797,19
24266,97797,30
24269,97797,32
24281,97797,42
24285,97797,35
24637,4647,16
24686,100572,33
25148,103729,47
25192,104001,0
25235,87773,71
25406,105538,15
25524,106541,50
25529,106551,48
25696,107628,51
25805,61414,43
25933,109048,85
25990,109457,8
26094,110135,21
26238,110930,82
26362,59734,151
26520,51038,7
26590,112983,8
26785,42273,239
26864,114590,5
26933,72062,5
26954,115157,37
26969,115307,162
27006,115560,6
27024,3227,157
27159,116382,173
27276,117028,58
27385,72062,59
27531,118971,177
27644,119510,63
27659,119588,4
27759,119900,7
28055,78127,43
28224,121427,49
28327,121436,38
28342,121809,8
28382,111359,9
28907,124352,10
28917,56471,88
28965,124655,49
29012,124797,34
29013,35935,39
29019,124841,69
29191,72808,89
29268,111203,6
29414,125857,56
29455,126607,71
29463,126649,14
29594,127428,13
29628,127608,123
29683,125857,21
30031,129352,66
30168,130023,42
30222,130293,92
30227,130351,44
30589,131716,73
30970,132918,89
31159,133859,0
31246,134149,5
31340,23435,46
31555,135619,10
31902,137292,1
31994,137814,229
31998,137846,52
32023,137974,99
32037,116599,27
32069,138309,12
32100,138579,1
32244,111921,19
32289,139612,8
32291,95639,163
32329,139853,2
32965,137974,39
33009,143027,132
33071,143388,44
33156,128669,15
33223,72014,76
33263,61414,44
33806,146025,39
33998,130313,19
34211,145404,17
34225,94735,5
34270,62014,0
34469,148891,54
34477,148874,1
34824,150105,12
35526,120291,29
35548,152918,25
35555,128931,0
35720,153494,12
35945,153441,67
35950,154332,10
35963,154377,10
36069,154787,1
36133,142684,92
36446,156734,3
36647,157798,16
36703,158284,122
36796,158734,18
36934,159370,13
37014,159746,214
37042,159917,21
37106,150715,10
37197,160605,22
37214,160671,10
37689,162229,15
38598,165566,9
38638,92788,81
38663,165789,11
38707,11481,67
38771,8178,177
38780,134505,19
38788,23684,5
38833,166532,91
39267,168417,93
39282,168525,119
39344,168806,1
39494,169471,33
39545,169683,145
39567,169899,88
39582,12220,59
39586,12220,126
39704,170510,172
39755,170813,9
40039,171851,14
40090,170707,89
40341,173218,29
40453,174025,1
40884,16800,41
40989,177655,4
41348,180083,14
41513,181167,1
41621,175622,17
41640,181902,6
41679,182119,113
41721,182354,24
41872,182987,24
41944,183352,18
41959,140272,112
41960,118793,17
42012,183665,27
42308,35935,50
42530,185745,11
42580,137814,87
42650,177980,0
42729,11481,64
42882,185978,100
43533,190143,3
43582,190416,0
43617,190603,6
43656,190934,12
43711,191269,40
43860,524333,61
43927,192154,25
43999,192533,9
44040,186124,67
44096,190409,44
44145,179020,99
44161,193360,165
44212,72062,30
44221,193722,49
44229,181376,107
44277,194081,2
44288,193637,50
44372,194685,3
44461,195137,47
44619,78127,82
44698,196764,77
44714,46978,41
44973,198411,73
44974,198425,26
45282,200454,21
45393,201297,33
45509,131914,100
45556,67778,37
45558,192154,41
45599,202616,52
45671,202977,1
45689,203103,111
45703,61414,33
45910,204539,6
45936,867225,79
45941,203595,27
45943,204734,188
46544,8198,38
46597,208519,41
46723,209460,91
46752,209620,12
46847,182226,15
46911,210746,30
47199,212722,78
47563,215817,10
47613,216191,28
47655,216517,45
47868,218080,23
48011,218691,11
48310,220001,231
48620,221373,0
48719,221873,53
49048,35935,19
49106,223802,92
49163,223999,30
49715,226986,88
49868,228007,9
49943,228294,45
50174,229740,99
50447,9744,66
50541,232066,21
50623,232651,16
50789,233802,20
51485,236655,139
51510,236846,116
51533,161581,2
51572,237329,168
51778,172137,17
51850,27848,43
51852,27848,51
52113,148874,3
52123,240834,23
52294,241678,73
52549,172137,15
53092,246623,6
53137,240360,1
53212,194739,148
53359,121809,2
53469,204539,33
53470,204539,4
53477,204539,11
53598,249981,14
53630,250209,13
53843,159708,39
53899,27104,72
53932,252361,47
54158,10889,126
54355,254913,85
54358,254913,62
54391,254226,10
54453,255583,10
54486,255748,65
54508,210746,59
54544,256161,54
54626,190409,9
54694,27848,56
54822,257885,99
54846,258054,7
54860,258164,75
54975,258888,0
55236,175932,6
55320,261202,41
55467,260709,45
55488,262119,8
55505,262095,44
55587,131716,5
55668,88209,67
55737,263414,34
55902,264514,142
55922,264621,3
55959,168525,23
55982,264928,13
56467,267593,4
56859,256161,103
56881,270280,11
57161,271975,88
57297,199392,82
57468,239208,77
57516,273960,4
57618,274557,25
57754,275578,44
57874,276291,62
57979,276961,12
57987,276999,30
58059,277379,169
58062,277394,3
58101,277595,96
58257,278545,5
58286,277053,40
58292,202616,45
58294,278807,12
58299,278866,57
58467,279797,2
58471,279829,0
58515,272189,29
58595,148874,0
58618,280698,108
58728,281336,1
58729,281343,17
58814,281828,34
59014,282927,29
59121,204539,1
59127,283395,111
59156,16883,4
59293,283395,1
59628,286619,45
59709,186084,8
59723,281646,0
59735,230086,35
59818,287773,20
60037,288905,5
60056,240834,40
60076,289188,27
60084,289271,24
60164,289653,12
60181,128806,21
60538,285597,88
60611,292204,119
60666,256161,80
60680,292630,25
60749,293075,24
60864,293911,1
60948,126607,47
61167,295760,19
61201,296017,6
61214,296119,5
61404,297161,8
61470,297666,1
61492,297769,82
61555,298080,43
61694,299015,5
61832,299748,21
61892,300359,20
62038,301484,4
62095,281764,119
62126,301987,2
62219,65212,0
62230,302772,25
62430,197755,5
62452,303939,81
62461,303939,47
62465,257306,16
62468,304081,26
62680,305314,47
62787,303939,94
62860,126681,1
62873,306456,51
62891,306545,105
62925,306739,84
62926,102310,82
63003,307241,19
63154,105155,16
63315,104802,3
63320,303939,86
63360,307962,167
63366,309303,11
63375,33279,42
63462,309758,48
63469,309787,23
63546,308652,32
63561,310356,46
63565,49538,10
63573,310458,4
63588,295128,0
63610,310670,9
63657,170510,127
63693,306545,94
63711,33279,20
63714,311268,23
63719,311286,28
63815,311757,2
63891,196764,7
64015,146944,0
64107,313317,135
64277,311286,11
64334,314377,70
64361,314562,35
64365,314582,97
64376,196764,38
64551,315396,32
64627,7740,91
64649,315841,209
64762,316523,26
64837,46978,90
64984,317687,31
65018,317795,4
65019,317809,39
65079,318050,22
65131,318398,11
65255,318998,15
65268,319092,29
65402,213645,10
65562,320450,0
65615,320761,5
65619,311568,8
65660,320538,50
65742,321390,13
65813,321756,9
65834,321934,11
65957,322641,160
65985,322777,183
66008,322884,8
66219,206769,46
66222,206769,6
66275,314941,12
66340,324859,202
66451,325389,3
66608,101172,189
66707,327386,152
66718,136227,66
66741,327673,51
66974,329436,9
67052,329892,21
67130,330488,124
67145,330660,20
67208,331195,195
67215,331224,9
67272,331589,50
67397,332189,45
67402,332260,11
67445,331328,62
67502,333027,21
67791,334949,104
67890,196764,5
67947,335795,86
67959,335860,26
68099,323517,50
68305,338454,49
68403,240427,67
68444,339426,178
68716,341904,10
68735,342054,21
68760,342231,40
68774,342374,74
68900,343250,2
68914,343302,19
68974,281229,82
69137,345437,28
69266,346370,17
69426,314506,145
69460,130351,43
69755,26210,65
69894,352168,22
69921,155689,27
70095,353965,38
70128,354330,18
70216,354965,6
70226,254913,78
70279,61531,21
70381,356484,76
70507,357592,156
70595,358568,22
70609,72062,19
71010,361855,3
71248,363834,19
71384,365153,49
71508,315310,23
71509,366380,1
71534,366492,68
71659,264514,119
71798,368932,9
71964,366380,27
71966,369997,41
71970,272651,13
72190,373085,27
72265,340692,10
72468,366380,11
72965,33405,20
73298,366380,0
74073,211877,10
74240,389924,37
74333,331328,21
74478,244444,11
74680,265109,37
74821,394640,35
74851,394746,5
75167,1420434,12
75193,308875,121
75249,1679337,1
75612,401539,12
75635,401696,122
75727,402491,10
75770,205988,26
76081,405467,70
76225,406593,45
76761,118971,157
76963,411489,51
77046,406714,12
77455,217472,41
77765,417504,22
78331,420682,91
78603,422345,8
78919,422561,4
79266,426701,2
79277,426806,16
79537,428380,51
79583,428674,154
79635,429216,61
79749,429873,6
79782,430188,20
80074,432303,61
80493,434987,98
80684,417504,7
80700,417504,5
80834,437578,24
80924,438133,5
81074,439119,6
81192,91407,84
81361,439809,8
81739,417504,2
81771,444064,25
82132,446599,68
82525,449168,81
82549,448312,57
82550,448312,19
82638,449787,137
83081,452380,3
83243,453519,114
83378,454393,37
83544,455446,10
83760,456875,54
83811,457253,72
83847,410094,22
84010,417504,3
84059,459054,2
84417,103729,69
84645,462429,52
84659,462776,133
84905,464506,91
85213,422388,20
85252,287897,47
86215,327900,75
86698,475263,4
86847,475999,1
87279,478136,60
87853,480943,112
87987,277125,22
88329,482998,26
89427,116599,0
89621,209460,72
91894,424910,14
