host_id,number_of_listings,number_of_actual_bookings_042017,number_of_predicted_bookings_042017,number_of_actual_bookings_052017,number_of_predicted_bookings_052017,number_of_actual_bookings_062017,number_of_predicted_bookings_062017,number_of_actual_bookings_072017,number_of_predicted_bookings_072017,number_of_actual_bookings_082017,number_of_predicted_bookings_082017,number_of_actual_bookings_092017,number_of_predicted_bookings_092017,number_of_actual_bookings_102017,number_of_predicted_bookings_102017,number_of_actual_bookings_112017,number_of_predicted_bookings_112017,number_of_actual_bookings_122017,number_of_predicted_bookings_122017,number_of_actual_bookings_012018,number_of_predicted_bookings_012018,number_of_actual_bookings_022018,number_of_predicted_bookings_022018
7549,4,2.75,4.865821,2.25,1.0846931,0.75,0.45024058,1.25,2.962144,2.0,0.88441914,3.0,1.5114233,1.5,1.6162227,0.25,0.011393359,1.5,1.0453117,1.5,2.5428572,1.25,1.5269178
9744,3,1.0,2.5936294,1.67,4.020441,2.33,2.8791378,2.0,0.008017585,1.33,2.8623004,1.67,3.2653039,2.0,2.2291057,1.33,3.0589404,1.33,1.4262657,4.33,1.1933062,0.67,2.099218
22486,4,0.0,1.5273442,0.5,10.925672,0.75,0.38052955,0.75,0.0010772347,0.0,0.10058671,1.0,0.13200782,2.25,0.16188489,1.5,0.30257747,1.0,1.1843007,1.75,2.2789347,0.0,3.130891
54275,3,0.0,1.0666864,1.0,1.6024513,0.67,1.5371147,1.0,2.1081457,0.0,0.736393,0.33,0.58879995,1.0,0.6084896,2.33,1.703903,1.33,1.8170176,1.0,0.43122652,0.0,0.066555806
67105,3,0.33,1.4441674,0.33,0.6787217,0.67,0.2705078,0.67,0.38106248,0.0,0.06925165,0.33,0.44639915,1.0,0.16883123,1.0,0.030235665,0.33,0.21030791,1.33,0.02485282,0.0,1.0488861
72014,3,1.33,16.290607,2.0,4.7087255,1.33,3.6465807,1.33,0.027221205,0.67,0.3645582,0.0,1.6814384,2.0,0.6331586,1.33,1.5522346,1.0,1.7904289,1.67,0.14443363,0.67,0.37375996
97797,5,0.6,0.78329134,0.0,0.18406121,0.2,0.5979005,1.2,1.0649412,0.4,1.4150153,0.2,0.16675344,0.2,0.7822216,0.8,1.1156203,1.6,0.94526863,1.6,0.14745422,0.2,0.5887657
137814,3,3.33,18.019108,4.0,9.81477,4.0,10.62982,3.0,5.637295,5.33,4.2816653,3.0,7.190186,4.0,2.8870313,4.0,4.013375,3.67,3.8886404,2.33,3.3208969,2.0,3.1552136
181376,3,0.67,1.4618862,1.33,21.262323,2.67,0.05022658,0.67,1.7901634,1.33,2.1119366,1.0,2.1495228,3.0,2.3147469,2.67,0.93378913,1.67,2.697545,2.0,0.91648436,1.0,1.2531066
204539,5,0.0,0.15,0.0,0.033333384,0.0,0.109313674,0.0,0.0983944,0.2,0.052662216,0.0,0.06936163,0.0,0.21333835,0.0,4.4703485e-09,0.0,4.4703485e-09,0.0,0.028852064,0.0,0.031961493
209460,4,0.5,9.243229,1.25,331.64526,2.25,29.609322,2.25,1.1699709,1.75,4.071844,3.75,2.2572763,6.0,3.8467624,1.75,4.6514225,2.25,0.97439677,2.5,4.328446,0.25,0.3313388
210746,3,0.0,0.13310184,0.0,0.037020057,1.0,0.09326374,0.33,0.17372462,0.0,1.4253293,0.67,0.5268566,1.67,0.26090306,2.33,0.5412042,0.67,2.322594,0.0,1.0331465,0.33,1.1382339
256161,3,0.33,11.864667,2.67,9.850435,3.0,0.6319816,2.67,1.5247933,0.33,2.3227048,1.33,0.18080111,3.67,1.7336223,5.67,3.3372586,1.33,4.141327,1.67,1.4375652,0.67,1.8698615
295128,5,0.0,0.028571427,0.0,0.028571427,0.0,0.028571425,0.0,0.028571427,0.0,0.028571427,0.0,0.028571427,0.6,0.028571427,0.0,0.2571428,0.0,0.068527855,0.2,0.053911276,0.0,0.049332604
302936,3,0.0,1.7018299,0.0,2.7170262,0.0,0.0654978,0.0,0.063106686,0.0,0.46804455,0.67,0.6430028,0.0,0.67230874,0.0,0.73374546,0.33,0.30244175,0.67,0.106308565,0.0,0.020562222
417504,28,0.29,0.07643199,0.21,0.29787403,0.14,0.52610433,0.11,0.042733688,0.04,0.111924924,0.14,0.09511426,1.11,0.080587655,1.75,0.77759063,0.71,1.4321219,0.54,0.023191996,0.39,0.5736236
517285,4,1.75,5.6559734,4.25,27.886484,1.75,6.359327,4.5,6.762007,1.5,0.7352278,1.0,3.0507967,2.75,4.108412,1.75,3.3681614,3.0,1.1102198,4.25,0.3790592,0.5,2.8916018
605463,3,0.33,1.1077175,1.0,12.736248,1.67,1.1297382,0.67,0.80456686,0.67,2.98684,2.33,0.4775043,2.0,1.7172577,2.0,0.0009067582,0.33,1.4464148,2.0,1.1421402,0.0,1.3830217
626876,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
627217,3,2.67,0.94257206,3.33,6.628285,4.67,6.6285806,5.67,6.153606,5.67,0.77630115,2.0,8.643299,3.33,6.164357,3.0,7.737783,3.33,9.131172,6.33,4.5468965,0.67,3.6643221
839679,3,0.67,1.2872131,1.33,0.43921292,0.67,1.0960449,1.33,0.7535146,1.0,0.6193692,1.0,0.91896296,0.67,1.0181248,1.33,1.1730782,0.0,0.7293475,1.0,0.5979116,0.33,0.09398537
914838,3,0.0,0.32097733,0.0,0.83317274,0.67,0.3385402,0.0,0.30058095,0.33,0.12833402,0.33,1.420404,0.0,0.4627999,0.33,1.1276836,0.0,0.25840208,0.33,0.26823035,0.33,0.76877415
970385,3,2.0,8.26405,2.0,0.7688167,2.0,2.8456113,1.67,2.652039,2.0,2.0867684,2.67,2.4574814,3.0,2.0552447,2.67,3.0442572,1.33,1.9288776,1.33,1.2650206,0.67,1.09196
1146958,3,3.67,177.72878,1.67,7.038095,2.33,2.791607,1.33,0.81425846,0.33,1.3144178,0.67,0.9976838,1.67,1.6333092,0.67,1.1433318,1.0,1.3638338,0.67,2.2859306,1.67,1.1040181
1234135,3,0.33,9.560485,0.0,12.472373,0.0,1.6243914,1.0,2.6659625,0.33,0.87198585,1.0,0.913809,1.33,2.106799,0.33,1.4859958,0.0,1.8318168,0.0,0.81388295,0.0,0.3794867
1267021,4,0.0,1.441677,0.25,3.429738,0.25,0.34247667,0.25,0.19073579,0.0,0.5835964,0.0,0.0435005,0.0,0.20750381,0.0,0.39328286,0.0,0.22555424,0.0,0.14172044,0.0,0.17632756
1354796,4,0.25,2.2196484,0.5,2.5425746,0.75,1.9834846,1.25,0.35807562,0.75,1.1715121,0.75,0.3854368,2.0,0.97619945,0.5,1.6303176,1.75,0.38729787,0.75,0.695581,0.0,0.2578918
1360198,3,0.0,2.175318,0.0,1.1423284,0.0,0.07402604,0.33,0.28644395,0.0,0.2258341,0.33,0.3611456,0.67,0.53892666,0.0,0.3693158,0.0,0.49529153,0.0,0.3630223,0.0,0.18890159
1539749,3,0.0,7.278867,0.0,1.4289674,0.33,1.3962799,0.0,1.4557062,1.67,3.5730314,1.0,3.7167132,2.0,1.52252,1.33,0.817792,0.33,1.1270602,1.33,1.1108538,1.0,0.21225819
1559494,6,0.5,1.4563981,0.67,1.6086369,0.5,2.1980078,0.33,0.4310895,0.83,0.65131515,0.67,0.45852762,0.33,0.592802,0.83,0.46688172,0.17,0.31297034,0.83,0.51471543,0.17,0.3879735
1567587,3,0.0,346.78857,0.67,0.77950597,1.33,1.7113687,2.33,0.9837495,2.33,4.285887,1.33,0.22291219,2.33,0.8720472,2.0,3.2793365,1.0,1.060053,1.0,0.738422,0.0,1.2937933
