host_id,number_of_listings,number_of_actual_bookings_042017,number_of_predicted_bookings_042017,number_of_actual_bookings_052017,number_of_predicted_bookings_052017,number_of_actual_bookings_062017,number_of_predicted_bookings_062017,number_of_actual_bookings_072017,number_of_predicted_bookings_072017,number_of_actual_bookings_082017,number_of_predicted_bookings_082017,number_of_actual_bookings_092017,number_of_predicted_bookings_092017,number_of_actual_bookings_102017,number_of_predicted_bookings_102017,number_of_actual_bookings_112017,number_of_predicted_bookings_112017,number_of_actual_bookings_122017,number_of_predicted_bookings_122017,number_of_actual_bookings_012018,number_of_predicted_bookings_012018,number_of_actual_bookings_022018,number_of_predicted_bookings_022018
7549,4,2.75,1.25,2.25,2.45,0.75,2.29,1.25,1.058,2.0,1.2116,3.0,1.84232,1.5,2.768464,0.25,1.7536929,1.5,0.5507386,1.5,1.3101478,1.25,1.4620296
9744,3,1.0,0.0,1.67,0.8,2.33,1.496,2.0,2.1632,1.33,2.03264,1.67,1.470528,2.0,1.6301056,1.33,1.9260211,1.33,1.4492042,4.33,1.3538408,0.67,3.7347682
22486,4,0.0,0.0,0.5,0.0,0.75,0.4,0.75,0.68,0.0,0.736,1.0,0.1472,2.25,0.82944,1.5,1.965888,1.0,1.5931776,1.75,1.1186355,0.0,1.6237271
54275,3,0.0,0.33,1.0,0.066,0.67,0.8132,1.0,0.69864,0.0,0.939728,0.33,0.1879456,1.0,0.30158913,2.33,0.8603178,1.33,2.0360637,1.0,1.4712127,0.0,1.0942426
67105,3,0.33,0.0,0.33,0.264,0.67,0.3168,0.67,0.59936,0.0,0.655872,0.33,0.1311744,1.0,0.2902349,1.0,0.858047,0.33,0.9716094,1.33,0.45832187,0.0,1.1556643
72014,3,1.33,1.0,2.0,1.264,1.33,1.8528,1.33,1.4345601,0.67,1.350912,0.0,0.8061824,2.0,0.16123648,1.33,1.6322473,1.0,1.3904495,1.67,1.07809,0.67,1.551618
97797,5,0.6,0.4,0.0,0.56,0.2,0.112,1.2,0.1824,0.4,0.99648,0.2,0.519296,0.2,0.2638592,0.8,0.21277185,1.6,0.68255436,1.6,1.4165108,0.2,1.5633022
137814,3,3.33,2.0,4.0,3.064,4.0,3.8128,3.0,3.96256,5.33,3.192512,3.0,4.9025025,4.0,3.3805006,4.0,3.8761,3.67,3.97522,2.33,3.731044,2.0,2.6102087
181376,3,0.67,0.67,1.33,0.67,2.67,1.198,0.67,2.3756,1.33,1.01112,1.0,1.266224,3.0,1.0532448,2.67,2.6106489,1.67,2.6581297,2.0,1.867626,1.0,1.9735252
204539,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.16,0.0,0.031999998,0.0,0.0063999994,0.0,0.0012799999,0.0,0.00025599997,0.0,5.1199993e-05
209460,4,0.5,0.75,1.25,0.55,2.25,1.11,2.25,2.022,1.75,2.2044,3.75,1.84088,6.0,3.368176,1.75,5.473635,2.25,2.4947271,2.5,2.2989454,0.25,2.459789
210746,3,0.0,0.0,0.0,0.0,1.0,0.0,0.33,0.8,0.0,0.424,0.67,0.0848,1.67,0.55296,2.33,1.446592,0.67,2.1533184,0.0,0.96666366,0.33,0.19333273
256161,3,0.33,0.0,2.67,0.264,3.0,2.1888,2.67,2.83776,0.33,2.703552,1.33,0.8047104,3.67,1.2249421,5.67,3.1809883,1.33,5.172198,1.67,2.0984395,0.67,1.7556878
295128,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.48,0.0,0.096,0.2,0.0192,0.0,0.16384
302936,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67,0.0,0.0,0.536,0.0,0.107200004,0.33,0.021440001,0.67,0.268288,0.0,0.5896576
417504,28,0.29,0.14,0.21,0.26,0.14,0.22,0.11,0.156,0.04,0.1192,0.14,0.05584,1.11,0.123168,1.75,0.9126336,0.71,1.5825267,0.54,0.88450533,0.39,0.6089011
517285,4,1.75,3.0,4.25,2.0,1.75,3.8,4.5,2.16,1.5,4.032,1.0,2.0064,2.75,1.20128,1.75,2.440256,3.0,1.8880513,4.25,2.7776103,0.5,3.955522
605463,3,0.33,2.0,1.0,0.664,1.67,0.9328,0.67,1.52256,0.67,0.840512,2.33,0.7041024,2.0,2.0048206,2.0,2.0009642,0.33,2.0001929,2.0,0.6640386,0.0,1.7328078
626876,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
627217,3,2.67,1.67,3.33,2.47,4.67,3.158,5.67,4.3676,5.67,5.40952,2.0,5.617904,3.33,2.7235808,3.0,3.2087162,3.33,3.0417433,6.33,3.2723486,0.67,5.7184696
839679,3,0.67,0.33,1.33,0.602,0.67,1.1844,1.33,0.77288,1.0,1.218576,1.0,1.0437152,0.67,1.008743,1.33,0.7377486,0.0,1.2115498,1.0,0.24230996,0.33,0.848462
914838,3,0.0,1.0,0.0,0.2,0.67,0.04,0.0,0.544,0.33,0.10880001,0.33,0.28576002,0.0,0.321152,0.33,0.0642304,0.0,0.27684608,0.33,0.055369217,0.33,0.27507386
