host_id,number_of_listings,number_of_actual_bookings_042017,number_of_predicted_bookings_042017,number_of_actual_bookings_052017,number_of_predicted_bookings_052017,number_of_actual_bookings_062017,number_of_predicted_bookings_062017,number_of_actual_bookings_072017,number_of_predicted_bookings_072017,number_of_actual_bookings_082017,number_of_predicted_bookings_082017,number_of_actual_bookings_092017,number_of_predicted_bookings_092017,number_of_actual_bookings_102017,number_of_predicted_bookings_102017,number_of_actual_bookings_112017,number_of_predicted_bookings_112017,number_of_actual_bookings_122017,number_of_predicted_bookings_122017,number_of_actual_bookings_012018,number_of_predicted_bookings_012018,number_of_actual_bookings_022018,number_of_predicted_bookings_022018
7549,4,2.75,2.5,2.25,2.75,0.75,2.0,1.25,1.25,2.0,0.5,3.0,0.0,1.5,1.0,0.25,1.25,1.5,1.5,1.5,0.75,1.25,1.25
9744,3,1.0,1.33,1.67,2.0,2.33,1.33,2.0,0.67,1.33,1.67,1.67,3.0,2.0,3.67,1.33,1.0,1.33,0.67,4.33,0.67,0.67,0.0
22486,4,0.0,0.0,0.5,1.0,0.75,0.0,0.75,0.25,0.0,0.75,1.0,0.25,2.25,1.0,1.5,0.25,1.0,0.0,1.75,1.0,0.0,0.0
54275,3,0.0,0.0,1.0,1.33,0.67,0.67,1.0,0.67,0.0,0.0,0.33,1.0,1.0,1.33,2.33,1.0,1.33,0.67,1.0,0.0,0.0,0.33
67105,3,0.33,0.0,0.33,0.0,0.67,0.67,0.67,0.33,0.0,0.67,0.33,0.33,1.0,0.33,1.0,0.33,0.33,0.0,1.33,0.67,0.0,0.0
72014,3,1.33,2.67,2.0,2.33,1.33,3.67,1.33,1.67,0.67,2.0,0.0,1.33,2.0,3.0,1.33,2.33,1.0,2.33,1.67,1.67,0.67,1.0
97797,5,0.6,0.2,0.0,0.4,0.2,0.6,1.2,0.6,0.4,0.2,0.2,0.4,0.2,1.0,0.8,1.2,1.6,0.2,1.6,0.2,0.2,0.4
137814,3,3.33,5.67,4.0,5.33,4.0,7.0,3.0,7.33,5.33,5.33,3.0,5.0,4.0,7.0,4.0,5.33,3.67,2.33,2.33,4.0,2.0,2.0
181376,3,0.67,0.33,1.33,2.33,2.67,3.0,0.67,1.0,1.33,1.33,1.0,3.67,3.0,3.0,2.67,2.33,1.67,0.67,2.0,1.67,1.0,0.67
204539,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
209460,4,0.5,1.75,1.25,4.25,2.25,2.5,2.25,2.0,1.75,3.0,3.75,4.0,6.0,2.75,1.75,2.5,2.25,0.5,2.5,1.25,0.25,0.75
210746,3,0.0,0.33,0.0,0.33,1.0,0.33,0.33,0.0,0.0,0.67,0.67,0.67,1.67,0.0,2.33,0.33,0.67,0.0,0.0,0.33,0.33,0.0
256161,3,0.33,2.33,2.67,2.67,3.0,2.33,2.67,1.0,0.33,1.33,1.33,2.33,3.67,2.33,5.67,2.0,1.33,0.67,1.67,1.67,0.67,0.0
295128,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0
302936,3,0.0,0.0,0.0,0.33,0.0,0.33,0.0,0.0,0.0,0.0,0.67,0.0,0.0,0.67,0.0,0.33,0.33,0.67,0.67,0.33,0.0,0.0
417504,28,0.29,0.89,0.21,0.86,0.14,0.25,0.11,0.36,0.04,0.04,0.14,0.25,1.11,0.29,1.75,0.14,0.71,0.11,0.54,0.18,0.39,0.14
517285,4,1.75,5.0,4.25,4.0,1.75,3.25,4.5,6.75,1.5,3.25,1.0,6.25,2.75,2.0,1.75,2.75,3.0,5.0,4.25,4.5,0.5,3.0
605463,3,0.33,2.0,1.0,2.33,1.67,1.33,0.67,1.33,0.67,1.33,2.33,1.0,2.0,1.67,2.0,0.0,0.33,1.0,2.0,0.67,0.0,2.0
626876,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
627217,3,2.67,1.0,3.33,3.0,4.67,2.0,5.67,4.67,5.67,0.33,2.0,4.67,3.33,1.33,3.0,3.33,3.33,1.33,6.33,5.33,0.67,1.67
839679,3,0.67,1.0,1.33,1.67,0.67,0.67,1.33,1.0,1.0,0.33,1.0,1.67,0.67,0.67,1.33,1.0,0.0,0.67,1.0,0.33,0.33,0.33
914838,3,0.0,0.33,0.0,0.0,0.67,0.0,0.0,0.0,0.33,0.33,0.33,0.33,0.0,0.67,0.33,0.0,0.0,0.0,0.33,0.67,0.33,1.0
970385,3,2.0,2.0,2.0,2.33,2.0,3.67,1.67,2.33,2.0,4.0,2.67,3.33,3.0,3.33,2.67,2.33,1.33,1.67,1.33,2.0,0.67,1.33
1146958,3,3.67,1.67,1.67,1.33,2.33,0.33,1.33,1.0,0.33,1.67,0.67,0.33,1.67,2.33,0.67,2.67,1.0,3.67,0.67,3.67,1.67,3.0
1234135,3,0.33,0.33,0.0,0.33,0.0,0.33,1.0,2.33,0.33,1.0,1.0,1.0,1.33,2.67,0.33,0.67,0.0,0.0,0.0,0.67,0.0,0.0
1267021,4,0.0,0.5,0.25,0.75,0.25,0.75,0.25,0.75,0.0,1.0,0.0,0.75,0.0,1.0,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0
1354796,4,0.25,1.0,0.5,1.25,0.75,0.75,1.25,0.0,0.75,1.0,0.75,1.75,2.0,1.75,0.5,0.5,1.75,0.25,0.75,0.25,0.0,0.0
1360198,3,0.0,0.0,0.0,0.0,0.0,0.33,0.33,0.0,0.0,0.0,0.33,0.33,0.67,0.33,0.0,0.67,0.0,0.0,0.0,0.0,0.0,0.0
1539749,3,0.0,1.0,0.0,0.0,0.33,0.67,0.0,0.33,1.67,1.33,1.0,1.67,2.0,1.67,1.33,0.0,0.33,0.0,1.33,1.0,1.0,0.0
1559494,6,0.5,0.5,0.67,0.33,0.5,1.0,0.33,0.33,0.83,0.33,0.67,1.17,0.33,0.5,0.83,0.83,0.17,0.17,0.83,0.17,0.17,0.5
1567587,3,0.0,0.67,0.67,2.67,1.33,2.0,2.33,1.67,2.33,0.67,1.33,1.67,2.33,1.0,2.0,1.67,1.0,2.0,1.0,2.0,0.0,0.0
1612492,3,0.0,0.0,0.0,0.0,0.33,0.0,0.0,0.0,0.0,0.0,0.33,0.0,0.0,0.33,1.0,0.0,0.0,0.33,0.0,0.0,0.0,0.33
1698391,3,1.0,0.0,1.0,0.67,1.33,0.67,0.33,0.67,1.67,1.0,1.67,2.33,2.33,2.33,2.0,1.67,1.67,1.67,3.67,0.67,0.67,0.33
1705037,3,0.0,1.33,1.67,1.33,2.33,1.33,0.33,1.0,1.0,0.67,1.67,2.33,3.0,2.67,3.33,1.0,0.33,1.0,2.67,1.67,0.67,0.33
1789339,3,0.67,0.67,3.33,0.67,1.33,0.67,2.67,1.0,2.0,1.0,2.0,3.33,1.0,2.67,2.33,3.0,1.0,3.67,2.33,1.33,1.33,0.33
1865527,3,0.0,0.33,0.0,1.33,0.33,0.33,0.33,0.33,0.67,0.33,1.33,0.0,1.0,1.33,0.33,0.33,0.0,0.0,0.0,0.0,0.0,0.0
2015914,6,0.0,1.67,0.5,0.83,0.67,0.5,0.0,0.33,1.17,1.17,1.0,0.67,0.67,0.83,0.17,0.5,0.33,0.0,0.67,0.5,0.33,0.17
2478675,3,2.33,0.67,3.33,2.67,5.33,3.67,1.0,2.67,1.67,1.67,0.0,2.33,6.0,5.0,2.67,2.67,1.0,3.0,2.33,3.33,2.33,1.67
2480939,3,1.67,1.0,5.67,3.67,4.33,1.67,7.33,3.33,3.67,4.67,3.33,5.0,5.0,3.67,3.33,3.0,5.67,4.33,3.67,2.67,2.33,0.0
3038687,6,0.33,0.17,0.17,0.17,0.0,0.33,0.33,0.33,0.17,0.0,0.5,0.0,0.17,0.5,0.17,0.17,0.17,0.17,0.33,0.17,0.0,0.17
3363720,3,2.67,0.67,1.0,0.67,2.33,0.33,1.67,0.0,1.0,0.33,1.33,1.0,1.33,0.33,0.33,0.67,0.67,0.0,1.33,1.0,1.33,1.0
3604585,3,0.0,1.33,1.33,3.67,3.67,2.67,1.67,1.0,1.0,2.0,1.33,2.33,2.0,1.33,2.33,1.33,1.33,0.67,3.0,1.0,0.33,0.0
