host_id,number_of_listings,number_of_actual_bookings_042017,number_of_predicted_bookings_042017,number_of_actual_bookings_052017,number_of_predicted_bookings_052017,number_of_actual_bookings_062017,number_of_predicted_bookings_062017,number_of_actual_bookings_072017,number_of_predicted_bookings_072017,number_of_actual_bookings_082017,number_of_predicted_bookings_082017,number_of_actual_bookings_092017,number_of_predicted_bookings_092017,number_of_actual_bookings_102017,number_of_predicted_bookings_102017,number_of_actual_bookings_112017,number_of_predicted_bookings_112017,number_of_actual_bookings_122017,number_of_predicted_bookings_122017,number_of_actual_bookings_012018,number_of_predicted_bookings_012018,number_of_actual_bookings_022018,number_of_predicted_bookings_022018
7549,4,2.75,1.5227273,2.25,1.576087,0.75,1.6041666,1.25,1.57,2.0,1.5576923,3.0,1.574074,1.5,1.625,0.25,1.6206896,1.5,1.575,1.5,1.5725807,1.25,1.5703125
9744,3,1.0,1.4854546,1.67,1.4643478,2.33,1.4729167,2.0,1.5072,1.33,1.5261538,1.67,1.5188888,2.0,1.5242857,1.33,1.5406897,1.33,1.5336666,4.33,1.5270967,0.67,1.6146874
22486,4,0.0,0.4431818,0.5,0.42391303,0.75,0.42708334,0.75,0.44,0.0,0.45192307,1.0,0.4351852,2.25,0.45535713,1.5,0.51724136,1.0,0.55,1.75,0.5645161,0.0,0.6015625
54275,3,0.0,0.56045455,1.0,0.536087,0.67,0.55541664,1.0,0.56,0.0,0.5769231,0.33,0.5555556,1.0,0.5475,2.33,0.56310344,1.33,0.622,1.0,0.6448387,0.0,0.6559375
67105,3,0.33,0.56,0.33,0.55,0.67,0.54083335,0.67,0.546,0.0,0.5507692,0.33,0.53037035,1.0,0.5232143,1.0,0.53965515,0.33,0.555,1.33,0.54774195,0.0,0.5721875
72014,3,1.33,2.1518183,2.0,2.116087,1.33,2.11125,1.33,2.08,0.67,2.051154,0.0,2.0,2.0,1.9285715,1.33,1.9310344,1.0,1.911,1.67,1.8816129,0.67,1.875
97797,5,0.6,0.46363637,0.0,0.4695652,0.2,0.45,1.2,0.44,0.4,0.46923077,0.2,0.46666667,0.2,0.45714286,0.8,0.44827586,1.6,0.46,1.6,0.4967742,0.2,0.53125
137814,3,3.33,5.3481817,4.0,5.2604346,4.0,5.2079167,3.0,5.1596,5.33,5.0765386,3.0,5.085926,4.0,5.0114284,4.0,4.9765515,3.67,4.944,2.33,4.902903,2.0,4.8225
181376,3,0.67,2.1363637,1.33,2.0726087,2.67,2.0416667,0.67,2.0668,1.33,2.013077,1.0,1.9877778,3.0,1.9525,2.67,1.9886206,1.67,2.0113332,2.0,2.0003226,1.0,2.0003126
204539,5,0.0,0.08181818,0.0,0.07826087,0.0,0.075,0.0,0.072,0.2,0.06923077,0.0,0.074074075,0.0,0.071428575,0.0,0.06896552,0.0,0.06666667,0.0,0.06451613,0.0,0.0625
209460,4,0.5,2.2954545,1.25,2.2173913,2.25,2.1770833,2.25,2.18,1.75,2.1826923,3.75,2.1666667,6.0,2.2232144,1.75,2.3534484,2.25,2.3333333,2.5,2.330645,0.25,2.3359375
210746,3,0.0,0.49954545,0.0,0.4778261,1.0,0.45791668,0.33,0.4796,0.0,0.47384617,0.67,0.4562963,1.67,0.46392858,2.33,0.50551724,0.67,0.56633335,0.0,0.5696774,0.33,0.551875
256161,3,0.33,1.7263637,2.67,1.6656522,3.0,1.7075,2.67,1.7592,0.33,1.7942308,1.33,1.74,3.67,1.7253572,5.67,1.7924138,1.33,1.9216666,1.67,1.9025806,0.67,1.8953125
295128,5,0.0,0.045454547,0.0,0.04347826,0.0,0.041666668,0.0,0.04,0.0,0.03846154,0.0,0.037037037,0.6,0.035714287,0.0,0.055172414,0.0,0.053333335,0.2,0.051612902,0.0,0.05625
302936,3,0.0,0.36272728,0.0,0.34695652,0.0,0.3325,0.0,0.3192,0.0,0.3069231,0.67,0.29555556,0.0,0.30892858,0.0,0.29827586,0.33,0.28833333,0.67,0.2896774,0.0,0.3015625
417504,28,0.29,0.3790909,0.21,0.37521738,0.14,0.36833334,0.11,0.3592,0.04,0.3496154,0.14,0.33814815,1.11,0.33107144,1.75,0.35793105,0.71,0.40433332,0.54,0.41419354,0.39,0.418125
517285,4,1.75,4.0454545,4.25,3.9456522,1.75,3.9583333,4.5,3.87,1.5,3.8942308,1.0,3.8055556,2.75,3.705357,1.75,3.6724138,3.0,3.6083333,4.25,3.5887096,0.5,3.609375
605463,3,0.33,1.3636364,1.0,1.3186957,1.67,1.3054167,0.67,1.32,0.67,1.295,2.33,1.2718519,2.0,1.3096429,2.0,1.3334483,0.33,1.3556666,2.0,1.3225807,0.0,1.34375
626876,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
627217,3,2.67,2.7272727,3.33,2.7247827,4.67,2.75,5.67,2.8268,5.67,2.936154,2.0,3.0374074,3.33,3.0003572,3.0,3.0117242,3.33,3.0113332,6.33,3.021613,0.67,3.125
839679,3,0.67,0.9859091,1.33,0.9721739,0.67,0.9870833,1.33,0.9744,1.0,0.9880769,1.0,0.98851854,0.67,0.98892856,1.33,0.977931,0.0,0.98966664,1.0,0.9577419,0.33,0.9590625
914838,3,0.0,0.18136364,0.0,0.17347826,0.67,0.16625,0.0,0.1864,0.33,0.17923076,0.33,0.18481481,0.0,0.19,0.33,0.18344827,0.0,0.18833333,0.33,0.18225807,0.33,0.186875
970385,3,2.0,2.7418182,2.0,2.7095652,2.0,2.68,1.67,2.6528,2.0,2.615,2.67,2.5922222,3.0,2.595,2.67,2.6089656,1.33,2.611,1.33,2.5696774,0.67,2.5309374
1146958,3,3.67,1.8936363,1.67,1.9708695,2.33,1.9583334,1.33,1.9732,0.33,1.9484615,0.67,1.8885186,1.67,1.845,0.67,1.8389655,1.0,1.8,0.67,1.7741935,1.67,1.7396874
1234135,3,0.33,0.7418182,0.0,0.723913,0.0,0.69375,1.0,0.666,0.33,0.6788462,1.0,0.6659259,1.33,0.67785716,0.33,0.7003448,0.0,0.688,0.0,0.6658065,0.0,0.645
1267021,4,0.0,0.6363636,0.25,0.6086956,0.25,0.59375,0.25,0.58,0.0,0.5673077,0.0,0.5462963,0.0,0.52678573,0.0,0.5086207,0.0,0.49166667,0.0,0.47580644,0.0,0.4609375
1354796,4,0.25,1.0681819,0.5,1.0326087,0.75,1.0104166,1.25,1.0,0.75,1.0096154,0.75,1.0,2.0,0.9910714,0.5,1.0258621,1.75,1.0083333,0.75,1.032258,0.0,1.0234375
1360198,3,0.0,0.1359091,0.0,0.13,0.0,0.124583334,0.33,0.1196,0.0,0.12769231,0.33,0.12296297,0.67,0.13035715,0.0,0.14896552,0.0,0.144,0.0,0.13935484,0.0,0.135
1539749,3,0.0,0.6668182,0.0,0.6378261,0.33,0.61125,0.0,0.6,1.67,0.5769231,1.0,0.6174074,2.0,0.63107145,1.33,0.6782759,0.33,0.7,1.33,0.6880645,1.0,0.708125
1559494,6,0.5,0.8331818,0.67,0.81869566,0.5,0.8125,0.33,0.8,0.83,0.78192306,0.67,0.7837037,0.33,0.7796429,0.83,0.7641379,0.17,0.76633334,0.83,0.7470968,0.17,0.7496875
1567587,3,0.0,1.5463636,0.67,1.4791304,1.33,1.4454167,2.33,1.4408,2.33,1.475,1.33,1.5066667,2.33,1.5003572,2.0,1.5289655,1.0,1.5446666,1.0,1.5270967,0.0,1.510625
1612492,3,0.0,0.1509091,0.0,0.14434783,0.33,0.13833334,0.0,0.146,0.0,0.14038461,0.33,0.13518518,0.0,0.14214286,1.0,0.13724138,0.0,0.166,0.0,0.16064516,0.0,0.155625
1698391,3,1.0,1.3040909,1.0,1.2908696,1.33,1.27875,0.33,1.2808,1.67,1.2442307,1.67,1.26,2.33,1.2746428,2.0,1.3110344,1.67,1.334,3.67,1.3448387,0.67,1.4175
1705037,3,0.0,1.7118182,1.67,1.6373913,2.33,1.63875,0.33,1.6664,1.0,1.615,1.67,1.5922222,3.0,1.595,3.33,1.6434482,0.33,1.6996666,2.67,1.6554838,0.67,1.6871876
1789339,3,0.67,2.590909,3.33,2.5073912,1.33,2.5416667,2.67,2.4932,2.0,2.5,2.0,2.4814816,1.0,2.4642856,2.33,2.413793,1.0,2.411,2.33,2.3654838,1.33,2.364375
1865527,3,0.0,0.30136365,0.0,0.28826088,0.33,0.27625,0.33,0.2784,0.67,0.28038463,1.33,0.29481483,1.0,0.3317857,0.33,0.35482758,0.0,0.354,0.0,0.34258065,0.0,0.331875
2015914,6,0.0,1.0454545,0.5,1.0,0.67,0.9791667,0.0,0.9668,1.17,0.9296154,1.0,0.9385185,0.67,0.9407143,0.17,0.9313793,0.33,0.906,0.67,0.88741934,0.33,0.880625
2478675,3,2.33,2.3945456,3.33,2.3917391,5.33,2.4308333,1.0,2.5468,1.67,2.4873078,0.0,2.457037,6.0,2.3692858,2.67,2.4944828,1.0,2.5003333,2.33,2.4519355,2.33,2.448125
2480939,3,1.67,2.8186364,5.67,2.7686956,4.33,2.8895833,7.33,2.9472,3.67,3.1157691,3.33,3.1362963,5.0,3.1432142,3.33,3.2072413,5.67,3.2113333,3.67,3.2906451,2.33,3.3025
